Order ID,Customer ID,Date,Time (Hr/Min),Customer Age Range,Gender,Product Type,Product Category,Product Name,Quantity,Unit Price,Tax Amount,Unit Cost,Cost,Shipping Method,Shipping Cost,Total Sales,Profit,Purchase Type,Channel,Country,City,Xmas Budget,Payment Method,Promotion Applied
ORD202100011,CUST1720780,16-06-2025,20:16,1 to 11,Male,Children,Toys,Barbie Doll,1,136.06,2.72,53.74,53.74,Express,7.01,145.79,92.05,Xmas Market,In-store,Italy,Milan,Medium,Debit Card,No
ORD202100012,CUST9329508,02-06-2023,07:22,1 to 11,Female,Teen,Accessories,Ray-Ban Sunglasses,2,153.79,6.15,55.17,110.34,Standard,4.77,318.5,208.16,Online,Online,Germany,Lodz,Medium,PayPal,Yes
ORD202100013,CUST6778280,08-12-2024,02:18,12 to 17,Male,Teen,Accessories,Portable Charger,1,30.88,0.62,10.91,10.91,Pickup,0,31.5,20.59,Online,Online,Germany,Utrecht,Low,PayPal,Yes
ORD202100014,CUST9100677,15-07-2022,17:12,12 to 17,Male,Adult,Books,Gordon Ramsay Cookbook,1,150.75,3.02,54.15,54.15,Standard,2.99,156.76,102.61,Xmas Market,In-store,Sweden,Berlin,Medium,Debit Card,No
ORD202100015,CUST8913865,06-12-2025,21:03,1 to 11,Male,Teen,Toys,Barbie Doll,1,155.91,3.9,60.97,60.97,Express,14.39,174.2,113.23,Online,Online,Austria,Manchester,High,Debit Card,No
ORD202100016,CUST3190575,13-12-2025,09:27,1 to 11,Female,Adult,Books,DC Comics Graphic Novel,1,150.45,3.76,42.66,42.66,Standard,5.99,160.2,117.54,Xmas Market,In-store,Austria,Gothenburg,Medium,Other,Yes
ORD202100017,CUST1011137,16-11-2024,14:52,18 over,Male,Children,Wearable Tech,Fitbit Inspire,1,147.9,3.7,59,59,Standard,3.67,155.27,96.27,Xmas Market,In-store,Belgium,Ghent,High,Other,No
ORD202100018,CUST2129453,24-07-2022,20:23,18 over,Male,Children,Books,Gordon Ramsay Cookbook,1,172.92,3.46,46.56,46.56,Standard,4.08,180.46,133.9,Xmas Market,In-store,Portugal,Brussels,Low,Other,No
ORD202100019,CUST1508521,18-01-2023,22:13,18 over,Male,Children,Toys,Barbie Doll,1,152.99,3.06,40.87,40.87,Standard,1.16,157.21,116.34,Xmas Market,In-store,United Kingdom,Funchal,Medium,Debit Card,No
ORD202100020,CUST7093813,18-06-2022,08:37,1 to 11,Female,Adult,Technology,4K Streaming Stick,1,49.73,1.24,17.9,17.9,Standard,5.46,56.43,38.53,Xmas Market,In-store,Poland,Manchester,Medium,PayPal,No
ORD202100021,CUST0401157,01-09-2021,16:35,1 to 11,Female,Adult,Technology,Smartwatch Series 8,1,207.91,4.16,67.54,67.54,Express,10.77,222.84,155.3,Online,Online,Belgium,Vienna,Low,Cash,No
ORD202100022,CUST5052883,06-03-2024,04:30,12 to 17,Female,Adult,Accessories,Ray-Ban Sunglasses,2,162.2,8.11,44.24,88.48,Pickup,0,332.51,244.03,Online,Online,Austria,Utrecht,Low,Cash,No
ORD202100023,CUST2001394,29-12-2023,11:28,1 to 11,Female,Adult,Board Games,Chess Set,1,161.09,4.03,51.22,51.22,Standard,3.08,168.2,116.98,In-store,In-store,France,Krakow,Medium,Cash,No
ORD202100024,CUST3605505,17-11-2025,22:59,1 to 11,Female,Adult,Books,Gordon Ramsay Cookbook,1,146.97,4.41,45.25,45.25,Pickup,0,151.38,106.13,In-store,In-store,France,Utrecht,High,PayPal,No
ORD202100025,CUST9146009,18-07-2024,16:45,12 to 17,Male,Adult,Clothing,Levi's Jeans,1,175.86,4.4,61.67,61.67,Standard,5.29,185.55,123.88,In-store,In-store,France,Antwerp,High,Other,No
ORD202100026,CUST2824161,02-06-2025,12:19,12 to 17,Male,Children,Accessories,Samsung Galaxy Case,1,153.53,3.84,61.18,61.18,Standard,4.55,161.92,100.74,Online,Online,Portugal,London,Medium,Debit Card,No
ORD202100027,CUST3989042,20-10-2022,04:01,12 to 17,Female,Adult,Clothing,Nike Running Shoes,1,151.64,3.79,52.6,52.6,Standard,1.88,157.31,104.71,Online,Online,Poland,London,High,Cash,No
ORD202100028,CUST5633289,30-12-2022,13:04,18 over,Female,Teen,Toys,Barbie Doll,1,157.75,3.94,43.67,43.67,Standard,3.55,165.24,121.57,Online,Online,United Kingdom,Paris,Medium,PayPal,No
ORD202100029,CUST5253586,14-02-2023,05:12,18 over,Female,Teen,General,Fisher-Price Learning Toy,1,156.33,4.69,44.1,44.1,Standard,2.25,163.27,119.17,In-store,In-store,Netherlands,Malmo,Medium,Other,No
ORD202100030,CUST2263732,06-01-2024,00:25,18 over,Male,Adult,Books,DC Comics Graphic Novel,2,156.79,6.27,51.43,102.86,Standard,4.8,324.65,221.79,Xmas Market,In-store,Germany,Warsaw,High,Cash,No
ORD202100031,CUST1543983,30-12-2025,20:58,1 to 11,Male,Teen,Books,Gordon Ramsay Cookbook,1,162.25,3.24,54.36,54.36,Pickup,0,165.49,111.13,In-store,In-store,Belgium,Coimbra,High,Other,No
ORD202100032,CUST8206787,12-11-2025,00:00,1 to 11,Female,Adult,Clothing,Levi's Jeans,1,157.84,3.95,53.33,53.33,Pickup,0,161.79,108.46,Online,Online,France,Funchal,Low,PayPal,No
ORD202100033,CUST3465041,16-01-2022,08:52,18 over,Male,Children,Building Sets,LEGO Star Wars Set,1,163.68,4.91,46.72,46.72,Standard,3.91,172.5,125.78,In-store,In-store,Austria,London,High,PayPal,No
ORD202100034,CUST0256868,29-12-2023,22:05,18 over,Female,Adult,Toys,Hot Wheels Car Set,1,158.56,3.17,51.46,51.46,Standard,3.07,164.8,113.34,Online,Online,United Kingdom,Porto,Medium,PayPal,No
ORD202100035,CUST1451818,13-08-2025,05:23,18 over,Male,Children,General,Fisher-Price Learning Toy,1,141.31,4.24,47.01,47.01,Express,6.56,152.11,105.1,Xmas Market,In-store,Italy,Antwerp,Low,Credit Card,No
ORD202100036,CUST6969583,05-07-2022,01:03,12 to 17,Male,Teen,Puzzles,Harry Potter Puzzle,1,153.3,3.07,60.62,60.62,Standard,2.63,159,98.38,In-store,In-store,Germany,Porto,High,Cash,No
ORD202100037,CUST0819886,20-09-2025,02:09,18 over,Female,Adult,Home,Robot Vacuum,1,239.1,4.78,69.36,69.36,Standard,4.54,248.42,179.06,In-store,In-store,Poland,Birmingham,Medium,Other,No
ORD202100038,CUST8673324,11-07-2021,10:34,1 to 11,Male,Adult,Electronics,JBL Headphones,2,150.21,7.51,45.66,91.32,Standard,6.43,314.36,223.04,Xmas Market,In-store,Sweden,Lyon,Medium,Debit Card,No
ORD202100039,CUST8555824,28-08-2022,12:39,1 to 11,Female,Teen,Board Games,Chess Set,1,135.95,2.72,40.67,40.67,Express,13.91,152.58,111.91,Xmas Market,In-store,Germany,Porto,Low,Credit Card,No
ORD202100040,CUST3450659,20-01-2025,06:35,18 over,Male,Children,Building Sets,LEGO Star Wars Set,4,154.88,15.49,53.41,213.64,Standard,2.16,637.17,423.53,In-store,In-store,United Kingdom,Funchal,Low,PayPal,No
ORD202100041,CUST5471539,21-10-2022,01:17,18 over,Female,Teen,Accessories,Wireless Earbuds,1,70.72,1.41,19.03,19.03,Standard,3.37,75.5,56.47,Online,Online,Poland,Lodz,Medium,Other,No
ORD202100042,CUST7000619,08-02-2024,23:46,1 to 11,Male,Children,Toys,Hot Wheels Car Set,1,162.13,4.05,42.94,42.94,Standard,1.38,167.56,124.62,Online,Online,Poland,Frankfurt,Medium,Cash,Yes
ORD202100043,CUST6710912,01-04-2022,16:43,1 to 11,Male,Teen,Video Games,PlayStation 5 Game,1,139.71,3.49,53.46,53.46,Standard,5.96,149.16,95.7,Online,Online,Sweden,Venice,Medium,Debit Card,No
ORD202100044,CUST8848030,25-08-2024,06:51,1 to 11,Female,Adult,Technology,Smart Speaker,1,94.35,2.83,28.98,28.98,Express,9.41,106.59,77.61,Online,Online,Germany,Paris,Medium,PayPal,No
ORD202100045,CUST0911337,01-09-2024,09:39,1 to 11,Male,Teen,Board Games,Chess Set,1,147.52,2.95,52.41,52.41,Standard,2.65,153.12,100.71,Online,Online,Germany,Malmo,Low,Other,No
ORD202100046,CUST0068067,01-11-2022,03:40,18 over,Male,Teen,Toys,Barbie Doll,1,155.37,4.66,40.42,40.42,Standard,2.56,162.59,122.17,Online,Online,Sweden,The Hague,Medium,PayPal,No
ORD202100047,CUST8420141,03-11-2022,23:13,1 to 11,Female,Adult,Accessories,VR Headset,1,279.15,6.98,106.54,106.54,Standard,3.28,289.41,182.87,Xmas Market,In-store,France,Salzburg,Low,PayPal,Yes
ORD202100048,CUST9451536,15-12-2025,20:57,18 over,Male,Children,Building Sets,LEGO Star Wars Set,1,167.78,5.03,56.83,56.83,Standard,1.12,173.93,117.1,Online,Online,Sweden,The Hague,Medium,Cash,No
ORD202100049,CUST7765703,07-08-2025,01:50,12 to 17,Female,Children,Clothing,Nike Running Shoes,1,156.08,3.9,48.89,48.89,Standard,6.56,166.54,117.65,In-store,In-store,France,Manchester,High,Debit Card,No
ORD202100050,CUST5157914,02-06-2022,04:48,12 to 17,Male,Adult,Toys,Barbie Doll,1,145.93,3.65,53.17,53.17,Standard,3.66,153.24,100.07,Xmas Market,In-store,Austria,Ghent,Medium,Debit Card,No
ORD202100051,CUST4691277,21-05-2023,14:00,18 over,Female,Children,Home,Robot Vacuum,1,239.93,7.2,85.05,85.05,Standard,2.27,249.4,164.35,In-store,In-store,Austria,Utrecht,High,PayPal,No
ORD202100052,CUST5532738,27-06-2023,05:38,12 to 17,Male,Children,Building Sets,LEGO Star Wars Set,1,172.74,5.18,67.01,67.01,Standard,6.3,184.22,117.21,In-store,In-store,Netherlands,Naples,Low,Cash,Yes
ORD202100053,CUST2788368,22-04-2022,00:41,18 over,Female,Adult,Kitchen Appliances,Dolce Gusto Coffee Machine,1,165.25,4.96,50.29,50.29,Standard,4.07,174.28,123.99,Online,Online,France,Birmingham,Low,Cash,No
ORD202100054,CUST1639392,08-10-2022,05:26,12 to 17,Female,Children,Puzzles,Harry Potter Puzzle,4,144.86,11.59,54.85,219.4,Standard,5.41,596.44,377.04,Online,Online,Poland,Marseille,Medium,PayPal,No
ORD202100055,CUST0983002,24-12-2021,00:58,1 to 11,Female,Adult,Electronics,JBL Headphones,1,148.29,3.71,48.08,48.08,Standard,6.15,158.15,110.07,In-store,In-store,Poland,Marseille,Low,Other,No
ORD202100056,CUST1412156,30-11-2021,15:15,12 to 17,Female,Children,Toys,Barbie Doll,3,145.05,8.7,45.16,135.48,Standard,3.45,447.3,311.82,Online,Online,France,Frankfurt,Medium,Credit Card,No
ORD202100057,CUST0587833,11-11-2022,15:39,1 to 11,Male,Adult,Clothing,Levi's Jeans,1,163.7,4.09,52.8,52.8,Express,14.34,182.13,129.33,In-store,In-store,Germany,Liverpool,High,Cash,No
ORD202100058,CUST4028957,26-08-2022,18:00,12 to 17,Male,Teen,Building Sets,LEGO Star Wars Set,1,154.27,3.09,61.5,61.5,Express,6.75,164.11,102.61,In-store,In-store,Italy,Munich,Low,Debit Card,No
ORD202100059,CUST8637284,27-09-2025,03:53,1 to 11,Female,Adult,General,Fisher-Price Learning Toy,1,155.97,3.9,43.74,43.74,Express,5.97,165.84,122.1,Xmas Market,In-store,United Kingdom,Frankfurt,Medium,Debit Card,No
ORD202100060,CUST3478587,07-01-2022,06:18,18 over,Male,Teen,Technology,Smartwatch Series 8,1,183.97,4.6,46.37,46.37,Express,13.5,202.07,155.7,Xmas Market,In-store,France,Brussels,High,Credit Card,No
ORD202100061,CUST9953336,08-01-2022,09:51,12 to 17,Female,Children,Accessories,VR Headset,1,272.69,6.82,68.57,68.57,Express,14.87,294.38,225.81,In-store,In-store,Portugal,Rome,High,Debit Card,No
ORD202100062,CUST8720400,24-12-2022,08:07,18 over,Male,Children,Technology,Kindle E-reader,1,140.8,3.52,44.55,44.55,Express,13.83,158.15,113.6,Xmas Market,In-store,Austria,Malmo,Medium,PayPal,No
ORD202100063,CUST9976965,23-08-2022,08:39,1 to 11,Male,Teen,Books,Gordon Ramsay Cookbook,1,157.76,3.94,43.84,43.84,Standard,5.61,167.31,123.47,Xmas Market,In-store,United Kingdom,The Hague,Low,Credit Card,Yes
ORD202100064,CUST5979990,18-12-2025,19:19,1 to 11,Male,Teen,Accessories,Portable Charger,1,27.09,0.68,9.92,9.92,Pickup,0,27.77,17.85,Online,Online,Portugal,Ghent,High,PayPal,No
ORD202100065,CUST5092034,16-10-2021,21:53,1 to 11,Female,Children,Accessories,Wireless Earbuds,2,76.39,3.82,28.21,56.42,Express,8.33,164.93,108.51,In-store,In-store,Netherlands,Paris,High,Debit Card,No
ORD202100066,CUST9718537,27-11-2021,09:15,18 over,Female,Adult,General,Fisher-Price Learning Toy,1,162.42,4.87,60.6,60.6,Standard,3.07,170.36,109.76,Online,Online,United Kingdom,Berlin,Low,Other,No
ORD202100067,CUST2476216,12-08-2024,19:04,12 to 17,Female,Children,Accessories,Portable Charger,1,29.28,0.59,8.29,8.29,Standard,6.15,36.02,27.73,Xmas Market,In-store,Netherlands,Rome,High,Other,No
ORD202100068,CUST1841505,15-01-2021,15:52,18 over,Female,Teen,Books,Gordon Ramsay Cookbook,2,147.31,7.37,56.99,113.98,Pickup,0,301.99,188.01,In-store,In-store,Sweden,Antwerp,Medium,Credit Card,No
ORD202100069,CUST9085862,30-05-2022,10:23,1 to 11,Female,Adult,Accessories,Ray-Ban Sunglasses,2,147.02,5.88,43.14,86.28,Standard,2.61,302.53,216.25,Xmas Market,In-store,Portugal,London,Low,Debit Card,No
ORD202100070,CUST4519402,17-09-2022,08:24,1 to 11,Female,Teen,Toys,Barbie Doll,1,165.05,4.13,44.99,44.99,Standard,5.6,174.78,129.79,Online,Online,Poland,Milan,Medium,Credit Card,No
ORD202100071,CUST4375922,28-05-2021,03:41,18 over,Male,Teen,Technology,4K Streaming Stick,1,50.49,1.26,17.73,17.73,Express,8.74,60.49,42.76,Online,Online,Germany,Vienna,Medium,Other,No
ORD202100072,CUST4899376,14-10-2022,08:01,12 to 17,Male,Adult,Wearable Tech,Fitbit Inspire,1,159.41,3.19,45.24,45.24,Pickup,0,162.6,117.36,In-store,In-store,Poland,Warsaw,Low,PayPal,No
ORD202100073,CUST5627213,06-10-2024,11:59,1 to 11,Male,Adult,Video Games,PlayStation 5 Game,1,158.28,3.96,58.77,58.77,Pickup,0,162.24,103.47,Online,Online,Netherlands,London,High,PayPal,No
ORD202100074,CUST1056758,05-11-2024,05:23,1 to 11,Female,Adult,Technology,Kindle E-reader,1,146.42,4.39,45.28,45.28,Standard,1.91,152.72,107.44,In-store,In-store,United Kingdom,Hamburg,Low,Credit Card,No
ORD202100075,CUST4316144,12-04-2021,13:39,12 to 17,Male,Children,Home,Robot Vacuum,1,235.76,4.72,66.25,66.25,Standard,4.28,244.76,178.51,In-store,In-store,Poland,Nice,High,Other,No
ORD202100076,CUST9314692,13-12-2024,19:42,18 over,Female,Adult,Wearable Tech,Fitbit Inspire,1,165.31,3.31,47.72,47.72,Express,12.28,180.9,133.18,In-store,In-store,Belgium,Lisbon,High,Other,Yes
ORD202100077,CUST1451799,12-12-2024,09:28,1 to 11,Male,Adult,Accessories,Portable Charger,2,31.64,1.9,8.39,16.78,Standard,5.2,70.38,53.6,Xmas Market,In-store,Netherlands,Marseille,High,Debit Card,No
ORD202100078,CUST5798668,03-11-2021,18:29,1 to 11,Female,Adult,Technology,4K Streaming Stick,1,51.32,1.28,12.95,12.95,Express,11.51,64.11,51.16,In-store,In-store,Netherlands,Frankfurt,High,PayPal,Yes
ORD202100079,CUST3890475,04-10-2022,06:49,1 to 11,Male,Teen,Home,Robot Vacuum,1,232.77,6.98,71.1,71.1,Express,7.64,247.39,176.29,In-store,In-store,United Kingdom,Gothenburg,Low,Cash,No
ORD202100080,CUST2912581,15-09-2023,18:07,18 over,Female,Children,Toys,Hot Wheels Car Set,2,155.33,9.32,54.69,109.38,Standard,5.54,325.52,216.14,Xmas Market,In-store,Portugal,Lyon,Low,Cash,Yes
ORD202100081,CUST1341836,09-03-2024,06:49,1 to 11,Female,Teen,Books,DC Comics Graphic Novel,1,167.15,4.18,63.34,63.34,Pickup,0,171.33,107.99,Online,Online,Portugal,Utrecht,Low,PayPal,No
ORD202100082,CUST9130199,28-01-2021,07:01,12 to 17,Female,Adult,General,Fisher-Price Learning Toy,1,147.7,4.43,46.06,46.06,Standard,3.79,155.92,109.86,Online,Online,Sweden,Innsbruck,Low,Cash,Yes
ORD202100083,CUST5401561,09-08-2023,08:08,12 to 17,Male,Teen,Accessories,Ray-Ban Sunglasses,1,150.21,3.76,42,42,Standard,6.69,160.66,118.66,In-store,In-store,Portugal,Milan,Medium,Credit Card,No
ORD202100084,CUST6244229,07-12-2022,18:07,12 to 17,Male,Teen,Technology,Smartwatch Series 8,1,187.62,4.69,67.69,67.69,Express,12.13,204.44,136.75,Online,Online,France,Utrecht,Medium,Debit Card,No
ORD202100085,CUST0369094,04-07-2022,03:33,12 to 17,Female,Teen,Kitchen Appliances,Dolce Gusto Coffee Machine,1,148.87,4.47,49.48,49.48,Standard,4.96,158.3,108.82,In-store,In-store,Italy,Stockholm,High,Debit Card,Yes
ORD202100086,CUST7953442,24-02-2024,11:56,18 over,Female,Children,Accessories,VR Headset,1,310.55,9.32,85.84,85.84,Standard,6.55,326.42,240.58,Online,Online,Sweden,Manchester,Low,Other,No
ORD202100087,CUST8835193,19-06-2021,05:22,1 to 11,Female,Adult,Toys,Hot Wheels Car Set,1,160.29,4.01,63.48,63.48,Express,6.25,170.55,107.07,In-store,In-store,Portugal,Lyon,High,Cash,No
ORD202100088,CUST6147098,25-01-2023,13:55,18 over,Male,Teen,Books,DC Comics Graphic Novel,1,167.23,4.18,57.14,57.14,Standard,1.92,173.33,116.19,Online,Online,Italy,Krakow,High,PayPal,No
ORD202100089,CUST4184412,28-07-2022,16:26,1 to 11,Male,Adult,Puzzles,Harry Potter Puzzle,1,162.02,4.86,62.04,62.04,Standard,2.01,168.89,106.85,Xmas Market,In-store,Italy,Rome,High,Debit Card,No
ORD202100090,CUST5774022,02-12-2021,00:48,18 over,Female,Teen,Accessories,Ray-Ban Sunglasses,1,153.37,3.83,56.67,56.67,Standard,3.42,160.62,103.95,In-store,In-store,Netherlands,Venice,Medium,Other,No
ORD202100091,CUST9574812,14-01-2025,11:06,18 over,Male,Teen,Clothing,Nike Running Shoes,1,146.99,3.67,47.68,47.68,Standard,6,156.66,108.98,Xmas Market,In-store,Sweden,Funchal,Medium,Credit Card,No
ORD202100092,CUST2366683,13-12-2023,08:48,18 over,Male,Children,Books,DC Comics Graphic Novel,1,147.81,2.96,44.66,44.66,Pickup,0,150.77,106.11,Online,Online,Portugal,Warsaw,Low,PayPal,No
ORD202100093,CUST4712457,03-11-2021,19:55,18 over,Male,Children,Technology,Smart Speaker,1,85.56,1.71,26.27,26.27,Standard,1.08,88.35,62.08,In-store,In-store,Germany,Lodz,High,Other,Yes
ORD202100094,CUST8600163,13-04-2022,17:29,1 to 11,Female,Children,Wearable Tech,Fitbit Inspire,1,144.34,2.89,39.53,39.53,Standard,5.18,152.41,112.88,Xmas Market,In-store,Netherlands,Venice,Low,Debit Card,No
ORD202100095,CUST1575146,28-01-2022,19:39,12 to 17,Male,Teen,Accessories,VR Headset,1,313.78,9.41,115.55,115.55,Standard,3.47,326.66,211.11,Online,Online,Belgium,Coimbra,Low,PayPal,No
ORD202100096,CUST7273399,04-04-2021,22:26,1 to 11,Male,Children,Technology,Smart Speaker,1,108.05,2.16,42.41,42.41,Standard,1.42,111.63,69.22,In-store,In-store,Germany,London,Medium,Credit Card,No
ORD202100097,CUST0154994,07-12-2025,13:09,18 over,Male,Teen,Accessories,Wireless Earbuds,1,78.67,1.97,27.55,27.55,Standard,6.93,87.57,60.02,Online,Online,Belgium,Malmo,High,Cash,No
ORD202100098,CUST3845594,09-03-2024,21:56,1 to 11,Female,Teen,Accessories,Samsung Galaxy Case,1,165.55,4.97,44.77,44.77,Pickup,0,170.52,125.75,Xmas Market,In-store,Austria,Nice,Medium,Credit Card,No
ORD202100099,CUST2771041,15-11-2022,23:57,18 over,Male,Children,Electronics,JBL Headphones,1,147.98,4.44,56.72,56.72,Express,11.71,164.13,107.41,In-store,In-store,Belgium,Marseille,Medium,Other,No
ORD202100100,CUST5662202,04-09-2022,01:05,12 to 17,Male,Adult,Toys,Barbie Doll,1,153.94,3.85,55.79,55.79,Pickup,0,157.79,102,Online,Online,Netherlands,Manchester,Low,PayPal,No
ORD202100101,CUST3343423,09-10-2024,21:30,1 to 11,Male,Adult,Electronics,JBL Headphones,1,146.74,4.4,57.7,57.7,Standard,6.68,157.82,100.12,In-store,In-store,Portugal,Antwerp,Medium,PayPal,Yes
ORD202100102,CUST8191777,23-11-2025,15:51,18 over,Female,Adult,Accessories,Portable Charger,1,28.49,0.71,8.23,8.23,Standard,2.41,31.61,23.38,Online,Online,United Kingdom,Nice,High,Cash,No
ORD202100103,CUST3790433,29-09-2025,15:35,12 to 17,Female,Children,Clothing,Levi's Jeans,1,140.6,2.81,43.34,43.34,Express,8.58,151.99,108.65,Online,Online,Portugal,Liverpool,High,Debit Card,No
ORD202100104,CUST2911183,12-06-2021,19:22,1 to 11,Female,Teen,Accessories,Ray-Ban Sunglasses,1,157.72,3.94,61.29,61.29,Pickup,0,161.66,100.37,Xmas Market,In-store,Netherlands,Munich,High,PayPal,No
ORD202100105,CUST6547742,17-01-2021,01:19,18 over,Male,Children,Board Games,Chess Set,1,148.84,2.98,42.57,42.57,Express,10.73,162.55,119.98,Xmas Market,In-store,United Kingdom,Utrecht,High,PayPal,No
ORD202100106,CUST1147209,22-11-2024,07:38,18 over,Male,Adult,Accessories,Portable Charger,2,30.14,1.81,10.27,20.54,Standard,4.36,66.45,45.91,Xmas Market,In-store,Sweden,Paris,Medium,Other,No
ORD202100107,CUST6381080,12-01-2022,22:37,12 to 17,Female,Children,Toys,Barbie Doll,1,142.33,3.56,37.14,37.14,Standard,2.52,148.41,111.27,Online,Online,Portugal,Paris,High,Credit Card,No
ORD202100108,CUST4356997,05-01-2023,12:18,18 over,Male,Teen,Accessories,Wireless Earbuds,1,92.55,1.85,34.09,34.09,Standard,4.26,98.66,64.57,Xmas Market,In-store,United Kingdom,Manchester,Medium,Credit Card,No
ORD202100109,CUST8865680,04-09-2022,09:28,12 to 17,Male,Adult,Board Games,Chess Set,1,164.97,4.95,55.53,55.53,Standard,2.5,172.42,116.89,Xmas Market,In-store,Italy,Warsaw,Medium,PayPal,No
ORD202100110,CUST1794358,19-12-2024,03:45,12 to 17,Male,Adult,Electronics,JBL Headphones,1,145.36,4.36,57.17,57.17,Standard,3.85,153.57,96.4,Xmas Market,In-store,Germany,Amsterdam,High,PayPal,Yes
ORD202100111,CUST6499184,16-06-2021,09:41,12 to 17,Female,Children,Clothing,The North Face Jacket,1,147.01,3.68,55.57,55.57,Standard,4.52,155.21,99.64,Xmas Market,In-store,Netherlands,Paris,Medium,Cash,No
ORD202100112,CUST0740252,09-04-2024,02:56,18 over,Female,Teen,Accessories,Samsung Galaxy Case,1,153.39,4.6,49.36,49.36,Standard,4.85,162.84,113.48,Xmas Market,In-store,Italy,Birmingham,Medium,Cash,No
ORD202100113,CUST5849495,11-12-2025,05:11,1 to 11,Male,Children,Video Games,PlayStation 5 Game,2,165.77,8.29,49.31,98.62,Standard,4.14,343.97,245.35,Online,Online,Sweden,Rome,Low,PayPal,Yes
ORD202100114,CUST2360836,15-09-2021,00:22,12 to 17,Female,Children,Technology,Kindle E-reader,1,162.33,4.87,56.02,56.02,Standard,2.03,169.23,113.21,Online,Online,Germany,Funchal,Low,Other,Yes
ORD202100115,CUST3374282,30-04-2021,14:57,12 to 17,Female,Children,Video Games,PlayStation 5 Game,1,138.24,3.46,42.76,42.76,Express,9.03,150.73,107.97,Online,Online,Poland,Manchester,Medium,PayPal,No
ORD202100116,CUST6609232,12-10-2023,17:55,12 to 17,Female,Children,Technology,Smart Speaker,4,94.07,11.29,34.5,138,Express,9.93,397.5,259.5,In-store,In-store,Sweden,Manchester,Medium,Cash,No
ORD202100117,CUST5102066,11-03-2022,11:38,12 to 17,Male,Children,Clothing,The North Face Jacket,1,157.06,3.93,53.58,53.58,Standard,5.85,166.84,113.26,In-store,In-store,United Kingdom,Naples,High,Credit Card,No
ORD202100118,CUST7077900,17-12-2021,13:31,12 to 17,Female,Children,Building Sets,LEGO Star Wars Set,2,156.93,6.28,49.97,99.94,Standard,2.99,323.13,223.19,Xmas Market,In-store,Austria,Hamburg,High,Debit Card,No
ORD202100119,CUST0535262,23-08-2022,15:47,18 over,Female,Children,Clothing,Levi's Jeans,1,157.87,3.16,50.92,50.92,Standard,3.52,164.55,113.63,Online,Online,Netherlands,Utrecht,Medium,Credit Card,No
